Variant,F1,Precision,Recall,Accuracy,ROC_AUC,PR_AP,CV_Acc_Mean,CV_F1_Mean
Top 11 Features,0.630901287553648,0.5268817204301075,0.786096256684492,0.7558552164655784,0.8443992353199514,0.6594092261285512,0.7577239436974883,0.6336402860543682
All Features,0.6294736842105263,0.5190972222222222,0.7994652406417112,0.7501774308019872,0.8441460642227905,0.6566745467288451,0.7541745403080531,0.6338707951666553
Top 15 Features,0.6288117770767613,0.5181975736568457,0.7994652406417112,0.7494677075940384,0.8435583456043815,0.6554324020127481,0.7516903834666928,0.6300574612891185
