Variant,F1,Precision,Recall,Accuracy,ROC_AUC,PR_AP,CV_Acc_Mean,CV_F1_Mean
All Features,0.6353944562899787,0.5283687943262412,0.7967914438502673,0.7572746628814763,0.847279702394792,0.6637002531038727,0.7586115703521349,0.6328824388228224
Top 11 Features,0.630901287553648,0.5268817204301075,0.786096256684492,0.7558552164655784,0.844751866490997,0.6617308832922651,0.7607412754274618,0.6358503447426213
Top 15 Features,0.6291179596174282,0.5220458553791887,0.7914438502673797,0.752306600425834,0.846298018548658,0.6597288245713173,0.757013148915447,0.6300033114719621
