Variant,F1,Precision,Recall,Accuracy,ROC_AUC,PR_AP,CV_Acc_Mean,CV_F1_Mean
All Features,0.6295907660020986,0.5181347150259067,0.8021390374331551,0.7494677075940384,0.8469257795344752,0.6656543984626327,0.7520453080452197,0.6300247666736472
Top 15 Features,0.6247379454926625,0.5137931034482759,0.7967914438502673,0.7459190915542938,0.8471066160324473,0.6663867563497443,0.7522219823136608,0.6311097170874893
Top 11 Features,0.6237006237006237,0.5102040816326531,0.8021390374331551,0.7430801987224982,0.8455165465395645,0.6674561548504178,0.7500927500508274,0.6293975684929206
