Variant,F1,Precision,Recall,Accuracy,ROC_AUC,PR_AP,CV_Acc_Mean,CV_F1_Mean
All Features,0.6160249739854319,0.504258943781942,0.7914438502673797,0.7381121362668559,0.8409232994910745,0.632042590623727,0.7468955919691223,0.6279229420676881
Top 15 Features,0.6131687242798354,0.4983277591973244,0.7967914438502673,0.7331440738112136,0.8395463587279445,0.6367836800291318,0.7426357090059748,0.6230456829716846
Top 11 Features,0.6055045871559633,0.48929159802306427,0.7941176470588235,0.7253371185237757,0.8358650443049421,0.6277670070220828,0.7348253194242403,0.6174217405065001
